reference_id,reference_text,n_unique_records
[10],"L. Shao, Q. Wang, L. Xue, M. Zhu, A. Wang, J. Luan, K. Yin, Q. Luo, Q. Zeng, L. Sun, B. Shen, Effects of minor Si addition on structural heterogeneity and glass formation of GdDyErCoAl high-entropy bulk metallic glass, Journal of Materials Research and Technology 11 (2021) 378–391. https://doi.org/10.1016/j.jmrt.2021.01.035.",4
[11],"H. Yin, J.Y. Law, Y. Huang, H. Shen, S. Jiang, S. Guo, V. Franco, J. Sun, Enhancing the magnetocaloric response of high-entropy metallic-glass by microstructural control, Sci. China Mater. 65 (2022) 1134–1142. https://doi.org/10.1007/s40843-021-1825-1.",3
[12],"B.G.F. Eggert, E.K. Delczeg-Czirjak, F. Maccari, S. Kumar, O. Gutfleisch, H. Fjellvåg, B.C. Hauback, C. Frommen, Exploring V-Fe-Co-Ni-Al and V-Fe-Co-Ni-Cu high entropy alloys for magnetocaloric applications, J. Alloys Compd. 921 (2022). https://doi.org/10.1016/j.jallcom.2022.166040.",1
[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",8
[14],"L. Shao, L. Xue, Q. Luo, K. Yin, Z. Yuan, M. Zhu, T. Liang, Q. Zeng, L. Sun, B. Shen, Heterogeneous GdTbDyCoAl high-entropy alloy with distinctive magnetocaloric effect induced by hydrogenation, J. Mater. Sci. Technol. 109 (2022) 147–156. https://doi.org/10.1016/j.jmst.2021.08.076.",2
[15],"A. Perrin, M. Sorescu, M.T. Burton, D.E. Laughlin, M. McHenry, The Role of Compositional Tuning of the Distributed Exchange on Magnetocaloric Properties of High-Entropy Alloys, JOM 69 (2017) 2125–2129. https://doi.org/10.1007/s11837-017-2523-3.",7
[16],"J.Y. Law, Á. Díaz-García, L.M. Moreno-Ramírez, V. Franco, Increased magnetocaloric response of FeMnNiGeSi high-entropy alloys, Acta Mater. 212 (2021). https://doi.org/10.1016/j.actamat.2021.116931.",3
[17],"C.L. Lin, J.L. Lee, S.M. Kuo, M.Y. Li, L. Gan, H. Murakami, S. Mitani, S. Gorsse, A.C. Yeh, Investigation on the thermal expansion behavior of FeCoNi and Fe30Co30Ni30Cr10-xMnx high entropy alloys, Mater. Chem. Phys. 271 (2021). https://doi.org/10.1016/j.matchemphys.2021.124907.",3
[18],"J. Harris, Z. Leong, P. Gong, J. Cornide, C. Pughe, T. Hansen, A. Quintana-Nedelcos, R. Rowan-Robinson, U. Dahlborg, M. Calvo-Dahlborg, R. Goodall, M. Rainforth, N. Morley, Investigation into the magnetic properties of CoFeNiCr yCu xalloys, J. Phys. D Appl. Phys. 54 (2021). https://doi.org/10.1088/1361-6463/ac1139.",4
[19],"Y. Guo, T. Zhang, Z. Zhang, B. Chen, W. Guo, S. Pan, Y. Gong, Y. Bai, Y. Gong, J. Liu, X. Miao, F. Xu, Large reversible magnetocaloric effect in high-entropy MnFeCoNiGeSi system with low-hysteresis magnetostructural transformation, APL Mater. 10 (2022). https://doi.org/10.1063/5.0108367.",1
[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",6
[20],"S. Vorobiov, O. Pylypenko, Y. Bereznyak, I. Pazukha, E. Čižmár, M. Orendáč, V. Komanicky, Magnetic properties, magnetoresistive, and magnetocaloric effects of AlCrFeCoNiCu thin-film high-entropy alloys prepared by the co-evaporation technique, Appl. Phys. A Mater. Sci. Process. 127 (2021). https://doi.org/10.1007/s00339-020-04145-6.",1
[21],"B.G.F. Eggert, E.K. Delczeg-Czirjak, B.C. Hauback, C. Frommen, Magnetic transitions in V-Fe-Co-Ni-Cu-based high entropy alloys, Materials Today Physics 35 (2023). https://doi.org/10.1016/j.mtphys.2023.101116.",1
[22],"L. Xue, L. Shao, B. Zhang, Z. Li, J. Cheng, B. Shen, Magnetic behaviors and magnetocaloric effects in rare earth high-entropy amorphous/nanocrystalline alloys, Journal of Rare Earths 42 (2024) 129–136. https://doi.org/10.1016/j.jre.2022.12.001.",2
[23],"W.H. Zhu, L. Ma, M.F. He, S.F. Lu, Z.K. Li, G.H. Rao, L. Li, X.M. Li, C.Q. Yin, Magnetic properties and magnetocaloric effect of GdTbHoEr-based high-entropy alloy ribbons, Journal of Materials Science: Materials in Electronics 33 (2022) 25930–25938. https://doi.org/10.1007/s10854-022-09283-6.",3
[24],"S.A. Uporov, S.K. Estemirova, E. V. Sterkhov, I.A. Balyakin, A.A. Rempel, Magnetocaloric effect in ScGdTbDyHo high-entropy alloy: Impact of synthesis route, Intermetallics (Barking). 151 (2022). https://doi.org/10.1016/j.intermet.2022.107678.",4
[25],"Y. Sun, W. Lv, Y. Liang, Y. Gao, W. Cui, Y. Yan, W. Zhao, Q. Zhang, X. Sang, Magnetocaloric properties of transition metal doped high entropy LaFe11Si2 alloys on Fe sites, Scr. Mater. 223 (2023). https://doi.org/10.1016/j.scriptamat.2022.115068.",3
[26],"K. Sarlar, A. Tekgul, I. Kucuk, Magnetocaloric properties of rare-earth-free Mn27Cr7Ni33Ge25Si8 High-Entropy Alloy, IEEE Magn. Lett. 10 (2019). https://doi.org/10.1109/LMAG.2019.2955667.",1
[27],"K. Wu, C. Liu, Q. Li, J. Huo, M. Li, C. Chang, Y. Sun, Magnetocaloric effect of Fe25Co25Ni25Mo5P10B10 high-entropy bulk metallic glass, J. Magn. Magn. Mater. 489 (2019). https://doi.org/10.1016/j.jmmm.2019.165404.",1
[28],"S.F. Lu, L. Ma, G.H. Rao, J. Wang, Y.S. Du, L. Li, J.T. Zhao, X.C. Zhong, Z.W. Liu, Magnetocaloric effect of high-entropy rare-earth alloy GdTbHoErY, Journal of Materials Science: Materials in Electronics 32 (2021) 10919–10926. https://doi.org/10.1007/s10854-021-05749-1.",1
[29],"K. Sarlar, A. Tekgül, I. Kucuk, Magnetocaloric properties in a FeNiGaMnSi high entropy alloy, Current Applied Physics 20 (2020) 18–22. https://doi.org/10.1016/j.cap.2019.09.019.",2
[2],"W.H. Zhu, L. Ma, M.F. He, Z.K. Li, H.Z. Zhang, Q.R. Yao, G.H. Rao, K.P. Su, X.C. Zhong, Z.W. Liu, X.Q. Gao, Large Refrigerant Capacity Induced by Table-Like Magnetocaloric Effect in High-Entropy Alloys TbDyHoEr, Adv. Eng. Mater. 25 (2023). https://doi.org/10.1002/adem.202201770.",2
[30],"S. Huang, Z. Dong, W. Mu, V. Ström, G. Chai, L.K. Varga, O. Eriksson, L. Vitos, Magnetocaloric properties of melt-spun MnFe-rich high-entropy alloy, Appl. Phys. Lett. 119 (2021). https://doi.org/10.1063/5.0065067.",1
[31],"J.Y. Law, L.M. Moreno-Ramírez, Á. Díaz-García, A. Martín-Cid, S. Kobayashi, S. Kawaguchi, T. Nakamura, V. Franco, MnFeNiGeSi high-entropy alloy with large magnetocaloric effect, J. Alloys Compd. 855 (2021). https://doi.org/10.1016/j.jallcom.2020.157424.",1
[32],"Z. Dong, S. Huang, V. Ström, G. Chai, L.K. Varga, O. Eriksson, L. Vitos, MnxCr0.3Fe0.5Co0.2Ni0.5Al0.3 high entropy alloys for magnetocaloric refrigeration near room temperature, J. Mater. Sci. Technol. 79 (2021) 15–20. https://doi.org/10.1016/j.jmst.2020.10.071.",1
[33],"J.Y. Law, V. Franco, Review on magnetocaloric high-entropy alloys: Design and analysis methods, J. Mater. Res. 38 (2023) 37–51. https://doi.org/10.1557/s43578-022-00712-0.",18
[34],"K. Sarlar, A. Tekgül, N. Küçük, A.B. Etemoglu, Structural and magnetocaloric properties of FeNi high entropy alloys, Phys. Scr. 96 (2021). https://doi.org/10.1088/1402-4896/ac326d.",2
[35],"A. Quintana-Nedelcos, Z. Leong, N.A. Morley, Study of dual-phase functionalisation of NiCoFeCr-Alx multicomponent alloys for the enhancement of magnetic properties and magneto-caloric effect, Mater. Today Energy 20 (2021). https://doi.org/10.1016/j.mtener.2020.100621.",2
[36],"Y. Zhang, P. Xu, J. Zhu, S. Yan, J. Zhang, L. Li, The emergence of considerable room temperature magnetocaloric performances in the transition metal high-entropy alloys, Materials Today Physics 32 (2023). https://doi.org/10.1016/j.mtphys.2023.101031.",8
[37],"A. Tekgül, K. Sarlar, N. Küçük, A.B. Etemoǧlu, The structural, magnetic and magnetocaloric properties of MnCrNiGeSi high-entropy alloy, Phys. Scr. 97 (2022). https://doi.org/10.1088/1402-4896/ac77c6.",4
[38],"Y. Zhang, J. Zhu, Z. Hao, W. Hao, Z. Mo, L. Li, Tunable magnetic phase transition and magnetocaloric effect in the rare-earth-free Al-Mn-Fe-Co-Cr high-entropy alloys, Mater. Des. 229 (2023). https://doi.org/10.1016/j.matdes.2023.111894.",3
[39],"L. Xue, L. Shao, Z. Li, Z. Han, B. Zhang, J. Huo, X. Wang, S. Zhu, B. Qian, J. Cheng, B. Shen, Utilization of high entropy in rare earth-based magnetocaloric metallic glasses, Journal of Materials Research and Technology 18 (2022) 5301–5311. https://doi.org/10.1016/j.jmrt.2022.05.022.",3
[3],"W. Sheng, J.Q. Wang, G. Wang, J. Huo, X. Wang, R.W. Li, Amorphous microwires of high entropy alloys with large magnetocaloric effect, Intermetallics (Barking). 96 (2018) 79–83. https://doi.org/10.1016/j.intermet.2018.02.015.",3
[40],"D.D. Belyea, M.S. Lucas, E. Michel, J. Horwath, C.W. Miller, Tunable magnetocaloric effect in transition metal alloys, Sci. Rep. 5 (2015). https://doi.org/10.1038/srep15755.",7
[41],"S.M. Na, P.K. Lambert, H. Kim, J. Paglione, N.J. Jones, Thermomagnetic properties and magnetocaloric effect of FeCoNiCrAl-type high-entropy alloys, AIP Adv. 9 (2019). https://doi.org/10.1063/1.5079394.",2
[42],"S. Huang, Z. Dong, E. Dastanpour, V. Ström, G. Chai, L.K. Varga, O. Eriksson, L. Vitos, Vibrational entropy-enhanced magnetocaloric effect in Mn-rich high-entropy alloys, Appl. Phys. Lett. 119 (2021). https://doi.org/10.1063/5.0064308.",4
[4],"S.F. Lu, L. Ma, J. Wang, Y.S. Du, L. Li, J.T. Zhao, G.H. Rao, Effect of configuration entropy on magnetocaloric effect of rare earth high-entropy alloy, J. Alloys Compd. 874 (2021). https://doi.org/10.1016/j.jallcom.2021.159918.",4
[5],"Y. Yuan, Y. Wu, X. Tong, H. Zhang, H. Wang, X.J. Liu, L. Ma, H.L. Suo, Z.P. Lu, Rare-earth high-entropy alloys with giant magnetocaloric effect, Acta Mater. 125 (2017) 481–489. https://doi.org/10.1016/j.actamat.2016.12.021.",4
[6],"J. Huo, J.Q. Wang, W.H. Wang, Denary high entropy metallic glass with large magnetocaloric effect, J. Alloys Compd. 776 (2019) 202–206. https://doi.org/10.1016/j.jallcom.2018.10.328.",1
[7],"J. Huo, L. Huo, J. Li, H. Men, X. Wang, A. Inoue, C. Chang, J.Q. Wang, R.W. Li, High-entropy bulk metallic glasses as promising magnetic refrigerants, J. Appl. Phys. 117 (2015). https://doi.org/10.1063/1.4908286.",3
[8],"C.M. Pang, L. Chen, H. Xu, W. Guo, Z.W. Lv, J.T. Huo, M.J. Cai, B.L. Shen, X.L. Wang, C.C. Yuan, Effect of Dy, Ho, and Er substitution on the magnetocaloric properties of Gd-Co-Al-Y high entropy bulk metallic glasses, J. Alloys Compd. 827 (2020). https://doi.org/10.1016/j.jallcom.2020.154101.",4
[9],"C.M. Pang, C.C. Yuan, L. Chen, H. Xu, K. Guo, J.C. He, Y. Li, M.S. Wei, X.M. Wang, J.T. Huo, B.L. Shen, Effect of Yttrium addition on magnetocaloric properties of Gd-Co-Al-Ho high entropy metallic glasses, J. Non. Cryst. Solids 549 (2020). https://doi.org/10.1016/j.jnoncrysol.2020.120354.",3
